,delivery_week_new,payment_method_new,custom_meal_selection_new,state_new,channel_new,engagement_score,num_prior_orders_failed,num_prior_orders_unpaid,engagement_cat_new,ever_rated_recipe_new,is_f_new,target
0,3,3,1,1,8,13,4,0,1,0,0,1
1,3,3,1,1,8,222,98,0,1,0,0,1
2,3,3,1,4,8,21,8,0,1,1,0,1
3,3,3,0,1,8,242,16,0,1,1,0,1
4,3,0,1,1,8,14,5,1,1,0,0,1
5,3,3,1,1,8,11,1,0,0,0,0,1
6,3,0,0,0,9,1,0,0,0,0,0,1
7,3,3,1,4,8,1,0,0,0,0,0,1
8,3,1,1,2,8,1,0,0,0,0,0,0
9,3,0,1,1,8,248,9,1,1,0,0,1
10,3,0,1,2,4,44,11,0,1,1,0,1
11,3,3,1,1,8,276,6,0,1,0,0,1
12,3,0,1,1,8,2,0,0,0,0,0,1
13,3,0,1,4,8,20,1,0,1,0,0,1
14,3,3,1,1,8,50,0,0,1,0,0,1
15,3,0,1,1,3,24,5,0,1,1,0,1
16,3,0,0,1,4,43,7,0,1,0,0,1
17,3,0,1,1,10,11,4,0,0,0,0,1
18,3,3,0,4,0,5,0,0,0,0,1,1
19,3,3,1,1,8,52,18,0,1,1,0,1
20,3,3,1,1,8,19,6,1,1,1,0,1
21,3,3,0,1,8,211,3,0,1,0,0,1
22,3,3,0,4,8,75,42,0,1,0,0,1
23,3,3,1,4,11,9,5,0,0,0,0,1
24,3,0,1,1,11,23,1,0,1,0,0,1
25,3,0,0,4,8,21,1,0,1,0,0,1
26,3,0,1,4,8,17,3,0,1,0,0,1
27,3,1,1,4,8,3,3,0,0,0,0,1
28,3,3,1,1,8,54,5,0,1,1,0,1
29,3,3,1,5,4,22,2,0,1,0,0,1
30,3,3,0,1,11,9,0,0,0,0,0,1
31,3,1,2,0,8,2,2,0,0,0,0,1
32,3,0,1,1,0,119,7,0,1,0,1,1
33,3,0,1,1,3,1,0,0,0,0,0,0
34,3,3,1,0,6,17,9,0,1,0,0,1
35,3,1,1,1,8,3,1,0,0,0,0,1
36,3,0,1,6,1,19,5,0,1,1,1,1
37,3,0,1,4,0,3,0,0,0,0,1,1
38,3,3,1,1,11,37,1,0,1,0,0,1
39,3,0,1,6,8,29,6,0,1,0,0,1
40,3,3,0,1,0,1,0,0,0,0,1,1
41,3,1,1,1,8,2,0,0,0,0,0,1
42,3,1,2,1,8,2,3,0,0,0,0,1
43,3,3,0,4,2,46,1,0,1,0,0,1
44,3,3,1,1,8,2,1,0,0,0,0,1
45,3,1,1,0,8,1,0,0,0,0,0,1
46,3,1,0,4,8,21,2,2,1,0,0,1
47,3,1,1,4,8,21,2,2,1,0,0,1
48,3,3,1,4,8,203,0,0,1,0,0,1
49,3,3,0,1,11,169,4,0,1,0,0,1
50,3,0,1,6,8,136,48,1,1,0,0,1
51,3,3,1,4,0,3,2,2,0,0,1,0
52,3,3,1,1,7,12,1,0,1,0,0,1
53,3,3,0,0,11,4,1,1,0,0,0,1
54,3,3,2,1,11,95,36,1,1,0,0,1
55,3,1,0,4,4,13,0,0,1,0,0,1
56,3,3,1,1,11,18,0,0,1,0,0,1
57,3,3,1,1,8,5,5,0,0,1,0,1
58,3,3,1,1,0,1,0,0,0,1,1,0
59,3,3,1,4,0,62,31,0,1,1,1,1
60,3,1,0,0,8,1,0,0,0,0,0,1
61,3,0,1,1,11,14,0,0,1,0,0,1
62,3,0,1,1,0,4,1,1,0,0,1,0
63,3,3,0,6,11,193,4,2,1,0,0,1
64,3,3,0,6,2,2,1,0,0,0,0,1
65,3,3,1,1,8,9,2,0,0,0,0,1
66,3,3,1,1,0,33,15,0,1,0,1,1
67,3,3,1,1,8,111,15,0,1,0,0,1
68,3,0,0,1,3,5,4,1,0,0,0,1
69,3,3,0,0,4,25,2,2,1,0,0,0
70,3,2,2,1,2,13,3,0,1,0,0,1
71,3,0,1,1,11,116,6,0,1,0,0,1
72,3,3,0,1,7,58,1,0,1,1,0,1
73,3,3,1,1,8,153,3,1,1,0,0,1
74,3,0,0,0,8,7,0,0,0,0,0,1
75,3,0,1,4,8,9,4,0,0,1,0,1
76,3,0,2,4,1,2,1,0,0,1,1,1
77,3,3,1,5,4,49,3,0,1,1,0,1
78,3,3,1,4,8,139,0,0,1,0,0,1
79,3,0,0,1,8,1,0,0,0,0,0,0
80,3,3,1,0,11,62,1,0,1,1,0,1
81,3,3,0,4,11,1,0,0,0,0,0,1
82,3,3,1,6,8,13,5,1,1,0,0,1
83,3,3,0,4,8,17,0,0,1,0,0,1
84,3,3,1,1,0,14,16,2,1,0,1,1
85,3,3,0,1,0,1,0,0,0,0,1,1
86,3,1,1,1,9,5,1,0,0,0,0,1
87,3,3,1,6,0,8,0,0,0,0,1,1
88,3,3,1,4,11,2,0,0,0,0,0,1
89,3,0,1,1,11,88,5,0,1,0,0,1
90,3,0,1,6,0,31,3,0,1,1,1,1
91,3,0,1,6,8,144,4,0,1,0,0,1
92,3,0,1,1,4,66,0,0,1,0,0,1
93,3,0,0,0,11,9,4,0,0,0,0,1
94,3,1,2,4,0,2,0,0,0,0,1,1
95,3,0,0,1,4,32,1,0,1,0,0,1
96,3,3,0,1,11,23,1,0,1,0,0,1
97,3,3,1,0,0,12,11,0,1,1,1,1
98,3,3,0,4,11,185,4,0,1,0,0,1
99,3,1,1,1,7,9,5,0,0,1,0,1
100,3,0,0,0,4,25,7,0,1,1,0,1
101,3,3,1,1,1,1,0,0,0,1,1,1
102,3,3,0,6,2,192,35,2,1,0,0,1
103,3,3,0,6,11,86,8,0,1,1,0,1
104,3,3,0,0,6,15,0,0,1,0,0,1
105,3,3,0,0,0,9,1,0,0,0,1,1
106,3,3,0,6,8,137,7,0,1,0,0,1
107,3,3,1,4,8,69,30,0,1,0,0,1
108,3,1,0,0,8,1,0,0,0,0,0,1
109,3,0,1,1,11,82,15,0,1,0,0,1
110,3,0,1,1,11,13,0,0,1,0,0,1
111,3,3,2,1,10,2,1,1,0,0,0,1
112,3,3,0,1,4,82,2,0,1,0,0,1
113,3,0,1,1,0,4,2,0,0,0,1,1
114,3,3,0,5,8,1,0,0,0,0,0,0
115,3,3,0,0,8,123,70,0,1,0,0,1
116,3,3,0,4,0,10,3,0,0,1,1,1
117,3,3,1,5,8,4,4,1,0,0,0,1
118,3,0,1,1,11,119,4,0,1,0,0,1
119,3,1,2,1,11,2,1,0,0,0,0,1
120,3,1,1,6,0,1,0,0,0,0,1,1
121,3,3,0,6,10,15,4,1,1,1,0,1
122,3,3,1,5,11,21,4,0,1,0,0,1
123,3,1,1,5,9,11,6,0,0,1,0,1
124,3,3,1,0,0,2,0,0,0,0,1,1
125,3,3,1,0,4,10,5,0,0,0,0,1
126,3,2,0,4,8,6,0,0,0,0,0,1
127,3,3,1,0,8,124,15,0,1,1,0,1
128,3,0,1,4,8,48,10,0,1,1,0,1
129,3,1,1,1,4,42,0,0,1,1,0,1
130,3,3,0,1,1,1,0,0,0,0,1,0
131,3,3,0,1,1,27,7,0,1,1,1,1
132,3,3,0,0,7,96,6,0,1,0,0,1
133,3,0,1,4,8,46,5,0,1,0,0,1
134,3,0,0,0,8,8,2,0,0,0,0,1
135,3,0,0,0,11,15,6,0,1,0,0,1
136,3,0,0,1,6,35,11,1,1,0,0,1
137,3,3,0,4,8,48,19,1,1,0,0,1
138,3,3,1,6,8,136,25,1,1,1,0,1
139,3,0,1,1,8,158,3,1,1,0,0,1
140,3,0,1,0,8,4,0,0,0,0,0,1
141,3,0,1,0,0,83,57,3,1,0,1,1
142,3,0,0,0,10,1,0,0,0,0,0,1
143,3,3,1,1,8,21,4,0,1,0,0,1
144,3,1,2,4,7,1,0,0,0,0,0,1
145,3,0,1,4,8,1,0,0,0,0,0,1
146,3,1,1,4,8,12,8,2,1,1,0,1
147,3,3,1,0,4,119,2,0,1,0,0,1
148,3,1,0,4,4,9,0,0,0,0,0,1
149,3,1,1,4,2,2,2,0,0,0,0,1
150,3,1,0,0,0,8,2,0,0,0,1,1
151,3,3,0,4,0,158,4,0,1,0,1,1
152,3,3,0,1,10,172,37,3,1,0,0,1
153,3,2,1,1,6,26,0,0,1,0,0,0
154,3,3,1,0,8,179,25,0,1,0,0,1
155,3,3,0,5,8,1,0,0,0,0,0,0
156,3,0,1,1,8,60,10,0,1,0,0,1
157,3,0,1,1,11,51,3,0,1,0,0,1
158,3,1,0,5,2,6,1,0,0,1,0,1
159,3,1,1,6,1,186,2,0,1,0,1,1
160,3,1,1,1,1,1,0,0,0,0,1,1
161,3,3,0,6,4,11,11,2,0,0,0,1
162,3,0,1,4,8,23,4,0,1,1,0,1
163,3,3,0,0,8,108,31,4,1,0,0,1
164,3,0,1,2,8,109,8,0,1,1,0,1
165,3,3,0,1,7,32,22,1,1,0,0,1
166,3,0,1,4,11,33,10,0,1,0,0,1
167,3,3,0,1,10,33,14,1,1,1,0,1
168,3,0,0,1,7,1,0,0,0,0,0,1
169,3,3,1,4,11,93,24,0,1,0,0,1
170,3,3,0,0,1,10,7,1,0,0,1,1
171,3,2,0,1,11,46,1,1,1,0,0,1
172,3,0,1,4,8,7,0,0,0,0,0,1
173,3,3,1,6,0,1,0,0,0,1,1,1
174,3,3,0,4,11,134,18,0,1,0,0,1
175,3,3,1,1,8,1,0,0,0,0,0,1
176,3,0,1,4,8,65,5,2,1,1,0,1
177,3,3,0,0,8,6,1,0,0,0,0,1
178,3,3,1,6,0,172,49,0,1,0,1,1
179,3,3,1,6,5,21,7,0,1,0,0,1
180,3,3,0,0,8,69,11,2,1,0,0,1
181,3,3,1,4,8,9,1,0,0,0,0,1
182,3,3,1,0,0,6,4,0,0,1,1,1
183,3,3,1,4,0,22,3,1,1,0,1,1
184,3,1,1,5,8,7,0,0,0,0,0,1
185,3,3,0,1,1,7,4,0,0,0,1,1
186,3,3,1,4,10,31,0,0,1,0,0,1
187,3,0,1,4,11,63,11,0,1,0,0,1
188,3,3,0,6,1,11,1,0,0,0,1,1
189,3,0,1,4,8,2,0,0,0,0,0,1
190,3,3,1,4,8,32,3,0,1,0,0,1
191,3,3,0,6,11,8,3,0,0,0,0,1
192,3,0,1,0,2,113,17,0,1,0,0,1
193,3,0,1,1,11,17,2,0,1,0,0,1
194,3,0,1,0,1,1,0,0,0,0,1,1
195,3,3,1,1,3,19,6,0,1,0,0,1
196,3,0,1,4,0,19,15,0,1,0,1,1
197,3,0,1,4,0,8,1,0,0,0,1,1
198,3,3,0,1,1,24,16,1,1,0,1,1
199,3,3,1,5,2,5,1,0,0,0,0,1
200,3,3,1,2,11,9,1,0,0,0,0,1
201,3,0,0,4,0,11,0,0,0,0,1,1
202,3,3,1,0,11,26,8,2,1,0,0,1
203,3,0,1,4,8,8,7,0,0,1,0,1
204,3,3,1,0,8,91,21,0,1,0,0,1
205,3,3,1,1,7,18,13,0,1,0,0,1
206,3,3,0,4,8,10,3,1,0,0,0,1
207,3,1,1,0,8,16,1,0,1,0,0,1
208,3,3,0,0,10,15,5,0,1,0,0,1
209,3,3,1,4,8,5,2,0,0,1,0,1
210,3,0,1,6,8,83,1,0,1,0,0,1
211,3,3,0,0,3,95,0,0,1,0,0,1
212,3,1,1,2,6,1,0,0,0,0,0,0
213,3,0,1,4,0,28,7,0,1,0,1,1
214,3,3,1,0,7,150,1,0,1,0,0,1
215,3,1,0,1,8,12,1,0,1,0,0,0
216,3,0,1,4,8,7,0,0,0,0,0,1
217,3,3,1,1,0,36,3,0,1,0,1,1
218,3,0,0,1,11,155,21,0,1,1,0,1
219,3,3,1,4,8,21,7,0,1,1,0,1
220,3,0,1,0,10,1,0,0,0,0,0,1
221,3,3,0,1,6,144,52,0,1,0,0,1
222,3,0,1,0,8,73,22,0,1,1,0,1
223,3,3,1,0,8,59,0,0,1,0,0,1
224,3,3,1,1,11,5,1,0,0,1,0,1
225,3,0,0,4,11,4,0,0,0,0,0,1
226,3,0,1,0,0,8,1,0,0,0,1,1
227,3,1,1,4,0,24,15,0,1,0,1,1
228,3,0,1,4,4,38,2,1,1,0,0,0
229,3,3,1,0,11,10,4,0,0,0,0,1
230,3,3,1,6,8,165,32,0,1,1,0,1
