customer_id,order_number,delivery_date,delivery_week,final_payment_status,time_to_pay,payment_method,custom_meal_selection,state,channel,engagement_score,num_prior_orders_failed,num_prior_orders_unpaid,avg_recipe_rating
5,19153,20200201,2020-W06,Paid,5,Z,Yes,B,O,13,4,0,
13,10640,20200203,2020-W06,Paid,5,Z,Yes,B,O,222,98,0,
15,373,20200201,2020-W06,Paid,5,Z,Yes,F,O,21,8,0,2.80
19,9285,20200203,2020-W06,Paid,15,Z,No,B,O,242,16,0,3.67
20,8669,20200203,2020-W06,Paid,22,W,Yes,B,O,14,5,1,
23,4073,20200203,2020-W06,Paid,2,Z,Yes,B,O,11,1,0,
26,3859,20200203,2020-W06,Paid,5,W,No,D,I,1,0,0,
28,2169,20200203,2020-W06,Paid,22,Z,Yes,F,O,1,0,0,
33,24460,20200203,2020-W06,Unpaid,,X,Yes,G,O,1,0,0,
36,10165,20200203,2020-W06,Paid,16,W,Yes,B,O,248,9,1,
37,9951,20200203,2020-W06,Paid,5,W,Yes,G,H,44,11,0,3.25
39,1554,20200203,2020-W06,Paid,5,Z,Yes,B,O,276,6,0,
49,12362,20200203,2020-W06,Paid,5,W,Yes,B,O,2,0,0,
58,14955,20200203,2020-W06,Paid,419,W,Yes,F,O,20,1,0,
62,1261,20200203,2020-W06,Paid,2,Z,Yes,B,O,50,0,0,
73,4364,20200202,2020-W06,Paid,2,W,Yes,B,A1,24,5,0,4.00
81,20143,20200203,2020-W06,Paid,5,W,No,B,H,43,7,0,
91,6014,20200203,2020-W06,Paid,5,W,Yes,B,S,11,4,0,
93,15483,20200201,2020-W06,Paid,3,Z,No,F,F2,5,0,0,
95,8740,20200203,2020-W06,Paid,14,Z,Yes,B,O,52,18,0,3.50
108,24432,20200203,2020-W06,Paid,17,Z,Yes,B,O,19,6,1,3.82
110,8572,20200201,2020-W06,Paid,37,Z,No,B,O,211,3,0,
114,9405,20200203,2020-W06,Paid,1,Z,No,F,O,75,42,0,
116,20213,20200201,2020-W06,Paid,7,Z,Yes,F,D,9,5,0,
119,5115,20200201,2020-W06,Paid,1,W,Yes,B,D,23,1,0,
120,18297,20200203,2020-W06,Paid,15,W,No,F,O,21,1,0,
137,21565,20200202,2020-W06,Paid,8,W,Yes,F,O,17,3,0,
146,4957,20200203,2020-W06,Paid,1,X,Yes,F,O,3,3,0,
149,11998,20200202,2020-W06,Paid,5,Z,Yes,B,O,54,5,0,3.86
155,8451,20200203,2020-W06,Paid,5,Z,Yes,A,H,22,2,0,
157,8431,20200203,2020-W06,Paid,70,Z,No,B,D,9,0,0,
159,11965,20200201,2020-W06,Cancelled,,X,Unknown,D,O,2,2,0,
165,24455,20200201,2020-W06,Paid,5,W,Yes,B,F2,119,7,0,
171,12313,20200203,2020-W06,Unpaid,,W,Yes,B,A1,1,0,0,
177,6092,20200201,2020-W06,Paid,1,Z,Yes,D,E,17,9,0,
179,6970,20200201,2020-W06,Paid,1,X,Yes,B,O,3,1,0,
180,24312,20200203,2020-W06,Paid,5,W,Yes,E,F1,19,5,0,3.87
183,13466,20200203,2020-W06,Paid,1,W,Yes,F,F2,3,0,0,
186,17637,20200201,2020-W06,Paid,23,Z,Yes,B,D,37,1,0,
196,3679,20200203,2020-W06,Paid,5,W,Yes,E,O,29,6,0,
208,3556,20200201,2020-W06,Paid,15,Z,No,B,F2,1,0,0,
219,4263,20200203,2020-W06,Paid,1,X,Yes,B,O,2,0,0,
222,8557,20200201,2020-W06,Cancelled,,X,Unknown,B,O,2,3,0,
254,22365,20200202,2020-W06,Paid,6,Z,No,F,P,46,1,0,
256,11402,20200203,2020-W06,Paid,113,Z,Yes,B,O,2,1,0,
257,5483,20200203,2020-W06,Paid,20,X,Yes,D,O,1,0,0,
